ID,Title,Author,Year,Primary_Region,Tier,Reason_For_Honorable_Mention
71,The Fearful Void,Geoffrey Moorhouse,1974,Africa / Sahara,3,Solo Sahara crossing attempt - brave but less known
75,Eothen,Alexander Kinglake,1844,Middle East,4,Victorian-era classic but dated perspective
92,The Cruel Way,Ella Maillart,1947,Asia / Afghanistan,3,Wartime Afghanistan journey - literary but niche
95,The Gentleman in the Parlour,W. Somerset Maugham,1930,Asia,3,Master fiction writer's SE Asia travel - overshadowed by his novels
97,The Journal of a Tour to the Hebrides,James Boswell,1785,Europe / Scotland,3,18th century Scotland with Samuel Johnson - historical interest
100,Tiger of the Snows,Tenzing Norgay,1955,Asia / Himalayas,3,BIPOC Sherpa perspective on Everest - overshadowed by Hillary's account (MAYBE)
102,Winter in Arabia,Freya Stark,1940,Middle East,3,Second Stark book - Valleys of Assassins is her masterpiece
117,A House in Bali,Colin McPhee,1946,Asia / Indonesia,3,Musical memoir of Bali - unique but very niche
127,A Pattern of Islands,Arthur Grimble,1952,Oceania,3,Colonial Pacific islands - charming but dated
128,The Japanese Journey,Nicolas Bouvier,1989,Asia / Japan,3,Second Bouvier book - Way of the World is essential
131,At the Tomb of the Inflatable Pig,Matthew Parris,2003,South America / Paraguay,2,Offbeat Paraguay - entertaining but obscure destination
135,Apples are from Kazakhstan,Christopher Robbins,2008,Asia / Kazakhstan,3,Central Asia quirky travel - fun but niche
136,Hearing Birds Fly,Louisa Waugh,2003,Asia / Mongolia,3,Mongolia immersion - lovely but overshadowed by bigger names
138,Somebody's Heart is Burning,Tanya Shaffer,2003,Africa,2,West Africa women's journey - good but less known
139,The Ponds of Kalambayi,Mike Tidwell,1990,Africa,3,Peace Corps Congo - heartfelt but niche
141,The World Is a Carpet,Anna Badkhen,2013,Asia / Afghanistan,3,War zone immersion - one book per author rule (keeping Walking with Abel for Africa)
103,Dark Star Safari,Paul Theroux,2002,Africa,2,Excellent Africa journey - one book per author rule (keeping Great Railway Bazaar)
107,The Old Patagonian Express,Paul Theroux,1979,South America,2,Train to Patagonia - one book per author rule (keeping Great Railway Bazaar)
114,The Happy Isles of Oceania,Paul Theroux,1992,Oceania,2,Pacific kayaking - one book per author rule (keeping Great Railway Bazaar)
104,Notes from a Small Island,Bill Bryson,1995,Europe / UK,2,Britain humor - one book per author rule (keeping A Walk in the Woods)
105,Neither Here nor There,Bill Bryson,1991,Europe,2,Europe backpacking - one book per author rule (keeping A Walk in the Woods)
122,The Lost Continent,Bill Bryson,1989,North America,2,Small-town America - one book per author rule (keeping A Walk in the Woods)
123,In a Sunburned Country,Bill Bryson,2000,Oceania / Australia,2,Australia humor - one book per author rule (keeping A Walk in the Woods)
108,Between the Woods and the Water,Patrick Leigh Fermor,1986,Europe,2,Sequel to Time of Gifts - one book per author rule (keeping A Time of Gifts)
109,The Broken Road,Patrick Leigh Fermor,2013,Europe / Asia,3,Posthumous Fermor - one book per author rule (keeping A Time of Gifts)
111,The Songlines,Bruce Chatwin,1987,Oceania / Australia,2,Aboriginal philosophy masterpiece - one book per author rule (keeping In Patagonia)
106,Into Thin Air,Jon Krakauer,1997,Asia / Himalayas,1,Everest disaster bestseller - one book per author rule (keeping Into the Wild)
140,Eiger Dreams,Jon Krakauer,1990,Multiple,2,Mountaineering essays - one book per author rule (keeping Into the Wild)
101,Slowly Down the Ganges,Eric Newby,1966,Asia / India,2,River journey - one book per author rule (keeping A Short Walk in Hindu Kush)
26,From the Holy Mountain,William Dalrymple,1997,Middle East,3,Christianity scholarly journey - one book per author rule (keeping City of Djinns)
113,In Xanadu,William Dalrymple,1989,Asia,2,Kubla Khan quest - one book per author rule (keeping City of Djinns)
112,Nine Lives,William Dalrymple,2009,Asia / India,2,Sacred India - one book per author rule (keeping City of Djinns)
125,A Writer's World,Jan Morris,2003,Multiple,2,Travel essays - one book per author rule (keeping Venice)
126,Trieste and the Meaning of Nowhere,Jan Morris,2001,Europe / Italy,2,City meditation - one book per author rule (keeping Venice)
110,Imperium,Ryszard Kapuściński,1993,Europe / Soviet Union,2,Soviet collapse - one book per author rule (keeping Shadow of the Sun)
133,Travels with Herodotus,Ryszard Kapuściński,2007,Multiple,2,Philosophical reportage - one book per author rule (keeping Shadow of the Sun)
120,A Turn in the South,V.S. Naipaul,1989,North America,2,American South - one book per author rule (keeping An Area of Darkness)
121,Among the Believers,V.S. Naipaul,1981,Multiple,3,Islamic world - one book per author rule (keeping An Area of Darkness)
118,No Mercy,Redmond O'Hanlon,1997,Africa / Congo,2,Jungle adventure - one book per author rule (keeping Into Heart of Borneo)
115,Oracle Bones,Peter Hessler,2006,Asia / China,2,China archaeology - one book per author rule (keeping River Town)
29,The Art of Travel,Alain de Botton,2002,Multiple,2,Philosophy OF travel rather than travel narrative - excellent but not core travel writing
