ID,Status,Title,Author,author_gender,author_indigenous,author_person_of_color,author_identity_notes,Year,Primary_Region,travel_continents,Tier,Source,Notes,New_Category
1,Completed,There and Then,James Salter,male,no,no,,1992,Europe / France,Europe,3,gemini+user,The Alps - literary,IX. Self-Reckoning Through Movement
2,Completed,In Patagonia,Bruce Chatwin,male,no,no,,1977,South America,South America,2,gemini+chatgpt+user,"Genre-defining, vignettes",IX. Self-Reckoning Through Movement
4,Completed,South,Ernest Shackleton,male,no,no,,1919,Antarctica,Antarctica,1,gemini+chatgpt+user,Ultimate survival story,II. Exploration at the Edge
5,Completed,The Valleys of the Assassins,Freya Stark,female,no,no,,1934,Middle East / Persia,Asia,4,gemini+chatgpt+user,Classic exploration,IV. Frontiers and Frictions
6,Completed,The Great Railway Bazaar,Paul Theroux,male,no,no,,1975,Asia,Asia,1,gemini+chatgpt,Train travel classic,VI. Institutional Constraints
7,Completed,A Time of Gifts,Patrick Leigh Fermor,male,no,no,,1977,Europe,Europe,2,gemini+chatgpt+user,On foot to Constantinople,III. Slow Routes and Long Ways Through
8,Completed,A Walk in the Woods,Bill Bryson,male,no,no,,1998,North America,North America,1,gemini+chatgpt+user,Appalachian Trail humor,V. Humbled by the World
9,Completed,Arabian Sands,Wilfred Thesiger,male,no,no,,1959,Middle East,Asia,2,gemini+chatgpt+user,Empty Quarter,II. Exploration at the Edge
10,Completed,The Road to Oxiana,Robert Byron,male,no,no,,1937,Middle East,Asia,3,gemini+chatgpt+user,Architecture & history,IV. Frontiers and Frictions
11,Completed,Venice,Jan Morris,female,no,no,,1960,Europe / Italy,Europe,2,gemini,Perfect city portrait,VII. Inhabited Landscapes
12,Completed,Black Lamb and Grey Falcon,Rebecca West,female,no,no,,1941,Europe / Balkans,Europe,3,gemini+user,1000+ pages masterpiece,VIII. Political Moral and Historical Reckonings
13,Completed,The Snow Leopard,Peter Matthiessen,male,no,no,,1978,Asia / Himalayas,Asia,2,gemini+chatgpt+user,Spiritual journey,II. Exploration at the Edge
14,Completed,A Short Walk in the Hindu Kush,Eric Newby,male,no,no,,1958,Asia / Afghanistan,Asia,2,gemini+chatgpt+user,Amateur adventure,V. Humbled by the World
15,Completed,Into the Wild,Jon Krakauer,male,no,no,,1996,North America / Alaska,North America,1,gemini+chatgpt+user,Cautionary tale,II. Exploration at the Edge
16,Completed,West with the Night,Beryl Markham,female,no,no,,1942,Africa,Africa,2,gemini+chatgpt+user,Aviation memoir,IX. Self-Reckoning Through Movement
17,Completed,Tracks,Robyn Davidson,female,no,no,,1980,Oceania / Australia,Oceania,2,gemini+chatgpt,Desert with camels,II. Exploration at the Edge
19,Completed,Travels with Charley,John Steinbeck,male,no,no,,1962,North America,North America,2,gemini+chatgpt+user,Road trip across USA,IX. Self-Reckoning Through Movement
20,Completed,The Old Ways,Robert Macfarlane,male,no,no,,2012,Multiple,,3,gemini+chatgpt,Philosophy of walking,III. Slow Routes and Long Ways Through
21,Completed,The Travels,Marco Polo,male,no,no,,1300,Asia / Silk Road,Asia,2,gemini,Historical classic,I. First Routes and Foundational Journeys
22,Completed,The Rihla,Ibn Battuta,male,no,no,,1355,Islamic World,,2,gemini,Medieval Islamic travel,I. First Routes and Foundational Journeys
23,Completed,Blue Highways,William Least Heat-Moon,male,no,no,,1982,North America,North America,2,gemini+chatgpt,US backroads,VI. Institutional Constraints
26,Completed,From the Holy Mountain,William Dalrymple,male,no,no,,1997,Middle East,Asia,3,gemini+chatgpt,"Christianity, scholarly",IV. Frontiers and Frictions
27,Completed,The Shadow of the Sun,Ryszard Kapuściński,male,no,no,,2001,Africa,Africa,2,gemini+chatgpt+user,Reportage masterpiece,VIII. Political Moral and Historical Reckonings
28,Completed,Full Tilt,Dervla Murphy,female,no,no,,1965,Asia,Asia,2,gemini+chatgpt+user,Ireland to India by bike,VI. Institutional Constraints
34,Completed,As I Walked Out One Midsummer Morning,Laurie Lee,male,no,no,,1969,Europe / Spain,Europe,2,gemini,Walking memoir,III. Slow Routes and Long Ways Through
36,Completed,The Worst Journey in the World,Apsley Cherry-Garrard,male,no,no,,1922,Antarctica,Antarctica,1,gemini+chatgpt,Antarctic expedition,II. Exploration at the Edge
38,Completed,An Area of Darkness,V.S. Naipaul,male,no,yes,,1964,Asia / India,Asia,3,gemini+chatgpt,Controversial critique,IX. Self-Reckoning Through Movement
39,Completed,Video Night in Kathmandu,Pico Iyer,male,no,yes,,1988,Asia,Asia,2,gemini+user,Pop culture analysis,V. Humbled by the World
40,Completed,Shadow of the Silk Road,Colin Thubron,male,no,no,,2006,Asia,Asia,2,gemini+user,China to Turkey,VI. Institutional Constraints
45,Completed,The Salt Path,Raynor Winn,female,no,no,,2018,Europe / England,Europe,2,gemini+user,Coastal walking memoir along UK coast - homelessness and healing,III. Slow Routes and Long Ways Through
47,Completed,Coming into the Country,John McPhee,male,no,no,,1977,North America / Alaska,North America,2,gemini,Alaska reportage,II. Exploration at the Edge
49,Completed,Travels with Myself and Another,Martha Gellhorn,female,no,no,,1978,Multiple,,2,gemini,War correspondent,IX. Self-Reckoning Through Movement
51,Completed,A Year in Provence,Peter Mayle,male,no,no,,1989,Europe / France,Europe,2,gemini,Expat comedy,VII. Inhabited Landscapes
53,Completed,The Motorcycle Diaries,Che Guevara,male,no,no,,1993,South America,South America,2,gemini,Political memoir,IX. Self-Reckoning Through Movement
56,Completed,Iron and Silk,Mark Salzman,male,no,no,,1986,Asia / China,Asia,2,gemini,Martial arts memoir,VII. Inhabited Landscapes
57,Completed,The River at the Center of the World,Simon Winchester,male,no,no,,1996,Asia / China,Asia,2,gemini+user,Yangtze River,VI. Institutional Constraints
58,Completed,A Fortune-Teller Told Me,Tiziano Terzani,male,no,no,,1997,Asia,Asia,2,gemini,Fate and travel,VI. Institutional Constraints
59,Completed,Looking for Transwonderland,Noo Saro-Wiwa,female,no,yes,,2012,Africa / Nigeria,Africa,3,gemini,Modern Nigeria,IX. Self-Reckoning Through Movement
61,Completed,Wild Coast,John Gimlette,male,no,no,,2011,South America,South America,2,gemini,Guyana / Suriname,VIII. Political Moral and Historical Reckonings
64,Completed,The Way of the World,Nicolas Bouvier,male,no,no,,1963,Asia,Asia,3,gemini+chatgpt,Geneva to Khyber Pass,VI. Institutional Constraints
69,Completed,Arctic Dreams,Barry Lopez,male,no,no,,1986,Arctic,Arctic,3,gemini,Meditative nature,II. Exploration at the Edge
70,Completed,The Man Who Walked Through Time,Colin Fletcher,male,no,no,,1968,North America,North America,2,gemini,Grand Canyon,III. Slow Routes and Long Ways Through
73,Completed,Unbeaten Tracks in Japan,Isabella Bird,female,no,no,,1880,Asia / Japan,Asia,2,gemini,Meiji Japan,IV. Frontiers and Frictions
74,Completed,The Oregon Trail,Francis Parkman,male,no,no,,1849,North America,North America,2,gemini,Frontier America,I. First Routes and Foundational Journeys
76,Completed,River Town,Peter Hessler,male,no,no,,2001,Asia / China,Asia,3,gemini+chatgpt+user,Peace Corps memoir,VII. Inhabited Landscapes
77,Completed,The Places in Between,Rory Stewart,male,no,no,,2006,Asia / Afghanistan,Asia,2,gemini+chatgpt+user,Post-9/11 walk,IV. Frontiers and Frictions
79,Completed,Travels in West Africa,Mary Kingsley,female,no,no,,1897,Africa,Africa,2,gemini,Victorian explorer,I. First Routes and Foundational Journeys
